,Callsign,Tag,Number,IATA,ICAO
206,Bek Air,Z9 / BEK,8 ,Z9 , BEK
207,Belavia,B2 / BRU,28 ,B2 , BRU
208,Bemidji Airlines,CH / BMJ,3 ,CH , BMJ
209,Bering Air,8E / BRG,26 ,8E , BRG
210,Berjaya Air,J8 / BVT,5 ,J8 , BVT
211,Berry Aviation,BYA,15 ,,BYA
212,BH Air,8H / BGH,11 ,8H , BGH
213,Bhutan Airlines,B3 / BTN,2 ,B3 , BTN
214,Biman Bangladesh Airlines,BG / BBC,14 ,BG , BBC
215,BinAir,BID,11 ,,BID
216,Binter Canarias,NT / IBB,21 ,NT , IBB
217,Blue Air,0B / BMS,24 ,0B , BMS
218,Blue Dart Aviation,BZ / BDA,5 ,BZ , BDA
219,Blue Islands,SI / BCI,3 ,SI , BCI
220,Blue Panorama Airlines,BV / BPA,10 ,BV , BPA
221,Bluebird Airways,BBG,1 ,,BBG
222,Bluebird Aviation,BBZ,7 ,,BBZ
223,Bluebird Cargo,BF / BBD,6 ,BF , BBD
224,BMI Regional,BM / BMR,17 ,BM , BMR
225,Boeing,BOE,71 ,,BOE
226,Boliviana de Aviacion,OB / BOV,21 ,OB , BOV
227,Bond Offshore Helicopters,BND,29 ,,BND
228,Bookajet,BOO,6 ,,BOO
229,Borajet,YB / BRJ,10 ,YB , BRJ
230,Boutique Air,4B / BTQ,7 ,4B , BTQ
231,BQB Lineas Aereas,5Q / BQB,2 ,5Q , BQB
232,BRA,TF / BRX,33 ,TF , BRX
233,Bristow Helicopters,BHL,101 ,,BHL
234,British Airways,BA / BAW,307 ,BA , BAW
235,Brussels Airlines,SN / BEL,57 ,SN , BEL
236,Buddha Air,U4 / BHA,5 ,U4 , BHA
237,Bulgaria Air,FB / LZB,12 ,FB , LZB
238,Bulgarian Air Charter,1T / BUC,11 ,1T , BUC
239,Buraq Air,UZ / BRQ,4 ,UZ , BRQ
240,C&M Airways,RWG,1 ,,RWG
241,CAL Cargo Airlines,5C / ICL,6 ,5C , ICL
242,Calm Air,MO / CAV,14 ,MO , CAV
243,Camair-Co,QC / CRC,10 ,QC , CRC
244,Cambodia Angkor Air,K6 / KHV,5 ,K6 , KHV
245,Canadian North,5T / MPE,18 ,5T , MPE
246,CanaryFly,PM / CNF,6 ,PM , CNF
247,Canlink Aviation,MFC,24 ,,MFC
248,Cape Air,9K / KAP,54 ,9K , KAP
249,Capital Air Charter,EGL,9 ,,EGL
250,Capital Airlines,JD / CBJ,76 ,JD , CBJ
251,Cardig Air,8F / CAD,4 ,8F , CAD
252,Cargojet Airways,W8 / CJT,24 ,W8 , CJT
253,Cargolux,CV / CLX,21 ,CV , CLX
254,Cargolux Italia,C8 / ICV,4 ,C8 , ICV
255,Caribbean Airlines,BW / BWA,19 ,BW , BWA
256,Carpatair,V3 / KRP,4 ,V3 , KRP
257,Caspian Airlines,IV / CPN,12 ,IV , CPN
258,Cathay Dragon,KA / HDA,42 ,KA , HDA
259,Cathay Pacific,CX / CPA,146 ,CX , CPA
260,Cavok Air,CVK,9 ,,CVK
261,Cayman Airways,KX / CAY,4 ,KX , CAY
262,CEBU Pacific Air,5J / CEB,57 ,5J , CEB
263,Ceiba Intercontinental,C2 / CEL,9 ,C2 , CEL
264,CemAir,5Z / KEM,8 ,5Z , KEM
265,Central Airlines,CTL,2 ,,CTL
266,Central Mountain Air,9M / GLR,18 ,9M , GLR
267,Centurion Air Cargo,WE / CWC,5 ,WE , CWC
268,Chalair Aviation,CE / CLG,6 ,CE , CLG
269,Cham Wings Airlines,6Q / SAW,2 ,6Q , SAW
270,Charter Jets,LTC,5 ,,LTC
271,CHC Helikopter Service,HKS,107 ,,HKS
272,Chengdu Airlines,EU / UEA,23 ,EU , UEA
273,China Airlines,CI / CAL,82 ,CI , CAL
274,China Cargo Airlines,CK / CKK,9 ,CK , CKK
275,China Eastern Airlines,MU / CES,447 ,MU , CES
276,China Express Airlines,G5 / HXA,25 ,G5 , HXA
277,China Postal Airlines,CF / CYZ,22 ,CF , CYZ
278,China Southern Airlines,CZ / CSN,522 ,CZ , CSN
279,China United Airlines,KN / CUA,32 ,KN , CUA
280,China West Air,PN / CHB,24 ,PN , CHB
281,Chongqing Airlines,OQ / CQN,13 ,OQ , CQN
282,Citilink,QG / CTV,44 ,QG , CTV
283,Cityjet,WX / BCY,19 ,WX , BCY
284,Citywing,V9 / BPS,5 ,V9 , BPS
285,Cobalt Air,CO / FCB,1 ,CO , FCB
286,Cobham Aviation Services,FRA,19 ,,FRA
287,Cobham Flight Inspection,CLB,5 ,,CLB
288,Comair,MN / CAW,24 ,MN , CAW
289,Comlux Aviation,CLA,6 ,,CLA
290,Comlux Aviation Malta,MLM,17 ,,MLM
291,CommutAir,C5 / UCA,24 ,C5 , UCA
292,Compass Airlines,CP / CPZ,62 ,CP , CPZ
293,Condor,DE / CFG,45 ,DE , CFG
294,Conviasa,V0 / VCV,21 ,V0 , VCV
295,Copa Airlines,CM / CMP,89 ,CM , CMP
296,Copa Airlines Colombia,P5 / RPB,16 ,P5 , RPB
297,Copenhagen Airtaxi,CAT,29 ,,CAT
298,Corendon Airlines,XC / CAI,14 ,XC , CAI
299,Corporate Flight Management,LF / VTE,9 ,LF , VTE
300,Corsair,SS / CRL,7 ,SS , CRL
301,Croatia Airlines,OU / CTN,12 ,OU , CTN
302,Cubana,CU / CUB,11 ,CU , CUB
303,Cygnus Air,RGN,2 ,,RGN
304,Czech Airlines,OK / CSA,18 ,OK , CSA
305,Daallo Airlines,D3 / DAO,2 ,D3 , DAO
306,Dana Air,9J / DAN,3 ,9J , DAN
307,Danish Air Transport,DX / DTR,19 ,DX , DTR
308,Dart,D4 / DAT,11 ,D4 , DAT
309,DC-Aviation,DCS,26 ,,DCS
310,Deer Jet,DF / DER,27 ,DF , DER
311,Delta Air Lines,DL / DAL,839 ,DL , DAL
312,Denim Air,G6 / DNM,2 ,G6 , DNM
313,DHL Aero Expreso,D5 / DAE,3 ,D5 , DAE
314,DHL Air,D0 / DHK,99 ,D0 , DHK
315,DHL International,ES / DHX,5 ,ES , DHX
316,Diamond Executive Aviation,WKT,12 ,,WKT
317,Directflight,DCT,2 ,,DCT
318,Dniproavia,Z6 / UDN,8 ,Z6 , UDN
319,Donghai Airlines,DZ / EPA,18 ,DZ , EPA
320,DOT LT,R6 / DNU,4 ,R6 , DNU
321,Druk Air,KB / DRK,4 ,KB , DRK
322,Dubai Air Wing,DUB,3 ,,DUB
323,Dutch Antilles Express,9H / DNL,1 ,9H , DNL
324,Dutch Corendon Airlines,CD / CND,3 ,CD , CND
325,Dynamic Airways,2D / DYA,6 ,2D , DYA
326,Eaglemed,EMD,1 ,,EMD
327,East Coast Jets,ECJ,3 ,,ECJ
328,Eastar Jet,ZE / ESR,18 ,ZE , ESR
